B,/arquivo_100kb.bin,0.05124306678771973,1.779191255569458,1.831298589706421,110775,60.80218222682064,0,1
B,/arquivo_100kb.bin,0.051606178283691406,15.067802429199219,15.120450973510742,0,0.0,0,0
B,/arquivo_100kb.bin,0.05132699012756348,1.7748181819915771,1.8279697895050049,110775,60.951996117207564,0,1
B,/arquivo_100kb.bin,0.05165219306945801,0.7712185382843018,0.8239901065826416,102583,129.89665829398172,0,1
B,/arquivo_100kb.bin,0.05155611038208008,1.7731468677520752,1.8259897232055664,110775,61.009447612562774,0,1
B,/arquivo_100kb.bin,0.05076289176940918,1.7760567665100098,1.8277838230133057,110775,60.90948948105613,0,1
B,/arquivo_100kb.bin,0.0512852668762207,1.7732012271881104,1.8256385326385498,110775,61.007577300770635,0,1
B,/arquivo_100kb.bin,0.051392555236816406,1.7752456665039062,1.8281164169311523,110775,60.93731869265316,0,1
B,/arquivo_100kb.bin,0.05095219612121582,2.774683952331543,2.8268234729766846,118967,41.8709708685474,0,1
B,/arquivo_100kb.bin,0.05155658721923828,1.7727370262145996,1.825692892074585,110775,61.023552471569104,0,1
B,/arquivo_1mb.bin,0.05100202560424805,21.899839401245117,21.955959796905518,1130680,50.41953355316486,1,1
B,/arquivo_1mb.bin,0.05101180076599121,15.066437005996704,15.118389368057251,0,0.0,0,0
B,/arquivo_1mb.bin,0.051520586013793945,12.858692646026611,12.912338256835938,1097912,83.38170271386865,0,1
B,/arquivo_1mb.bin,2.002495050430298,0,2.002495050430298,0,0,0,0
B,/arquivo_1mb.bin,0.051482200622558594,16.858511924743652,16.911275148391724,1130680,65.49686546648095,0,1
B,/arquivo_1mb.bin,0.051627159118652344,13.87670636177063,13.930094957351685,1106104,77.84121529557046,0,1
B,/arquivo_1mb.bin,0.051503896713256836,16.878125429153442,16.931373357772827,1130680,65.42075375223601,0,1
B,/arquivo_1mb.bin,2.002805471420288,0,2.002805471420288,0,0,0,0
B,/arquivo_1mb.bin,0.05130648612976074,15.869163751602173,15.922210454940796,1122488,69.07608394861563,0,1
B,/arquivo_1mb.bin,0.0513005256652832,14.88153338432312,14.934576034545898,1114296,73.1228200345495,0,1
B,/arquivo_5mb.bin,0.05094790458679199,15.066102743148804,15.117861270904541,0,0.0,0,0
B,/arquivo_5mb.bin,0.05113792419433594,66.4860167503357,66.5401291847229,5497016,80.7414844486513,0,1
B,/arquivo_5mb.bin,0.05129408836364746,76.45166325569153,76.50624656677246,5578936,71.26306290130849,0,1
B,/arquivo_5mb.bin,0.051375627517700195,58.38317561149597,58.43645119667053,5431480,90.85116785691899,0,1
B,/arquivo_5mb.bin,0.05083489418029785,66.4382472038269,66.49185705184937,5497016,80.79953811892237,0,1
B,/arquivo_5mb.bin,0.05108046531677246,74.5724732875824,74.62662553787231,5562552,72.84430096010442,0,1
B,/arquivo_5mb.bin,0.05174112319946289,71.40527606010437,71.45967602729797,5537976,75.73921684649383,0,1
B,/arquivo_5mb.bin,0.05151033401489258,67.44281220436096,67.49766373634338,5505208,79.71464284747556,0,1
B,/arquivo_5mb.bin,0.05109691619873047,67.49182724952698,67.54600858688354,5505208,79.65675114445327,0,1
B,/arquivo_5mb.bin,0.05186605453491211,15.065082550048828,15.118189811706543,0,0.0,0,0
